Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,..,4.20893001556396,3.59691834449768,3.82439851760864,3.72663998603821,3.82487010955811,3.76761746406555,3.5663857460022,3.3705450296402,3.18820583820343,3.5699999332428,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Euro area,EMU,4.55725002288819,4.58512020111084,5.4102201461792,5.34205007553101,5.12400007247925,4.90953016281128,4.79266977310181,4.87182998657227,4.93587017059326,4.9102897644043,5.18500018119812,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Europe & Central Asia,ECS,..,4.14915490150451,4.82954978942871,4.95300507545471,4.87849998474121,4.8975350856781,4.78178787231445,4.7352249622345,4.67667984962464,4.63002014160156,5.07500004768371,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Europe & Central Asia (excluding high income),ECA,..,3.34339499473572,3.95986008644104,4.05822992324829,4.04840445518494,3.92179489135742,3.96209001541138,4.32368993759155,4.29406976699829,4.05691492557525,4.38912677764892,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,..,3.34339499473572,4.01803016662598,4.20151996612549,4.0829291343689,4.12199735641479,4.29491496086121,4.1994800567627,4.16968488693237,3.91686010360718,4.44620370864868,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,European Union,EUU,..,4.86840009689331,4.94940996170044,4.97062015533447,4.93554019927979,4.90953016281128,4.7709059715271,4.61409997940063,4.62282991409302,4.63002014160156,5.13499999046326,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Fragile and conflict affected situations,FCS,..,..,3.3199999332428,3.45445990562439,3.41595005989074,3.28257989883423,3.02660501003266,3.05962991714478,3.19979000091553,3.21377992630005,3.16616010665894,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Heavily indebted poor countries (HIPC),HPC,..,2.5650200843811,3.45270001888275,3.45445990562439,3.38488006591797,3.49415993690491,3.26575493812561,3.53558993339539,3.28144991397857,3.50581502914429,3.2251501083374,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,High income,HIC,..,4.64836978912354,4.79798984527588,4.93538999557495,4.89976000785827,4.86523008346558,4.79266977310181,4.78053998947144,4.76920986175537,4.70325994491577,5.17000007629395,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IBRD only,IBD,..,3.90146005153656,4.12081980705261,4.3918800354004,4.43837976455688,4.11457014083862,4.25407981872559,4.08040499687195,4.16744995117188,3.97981500625611,4.13413000106812,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IDA & IBRD total,IBT,..,3.25661993026733,3.67986369132996,3.84859001636505,4.0335898399353,3.88692808151245,3.85050010681152,3.80347990989685,3.86611008644104,3.70470499992371,3.91697001457214,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IDA blend,IDB,..,..,3.83521997928619,4.92554497718811,4.7172999382019,4.74350023269653,5.23999977111816,4.70680499076843,3.44853508472442,3.57539010047913,4.15306186676025,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IDA only,IDX,..,2.57921004295349,3.4709300994873,3.30608010292053,3.349524974823,3.39420676231384,3.09477996826172,3.53362989425659,3.39011991024017,3.4841001033783,3.2251501083374,..
